run_accession,sample_accession,sample_alias,sample_description,first_public,country,scientific_name,fastq_bytes,base_count,read_count,library_name,library_strategy,library_source,library_layout,instrument_platform,instrument_model,study_title,fastq_url,info
SRR1553416,SAMN02951952,EM095B,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,75343412;82686811,204989600,1014800,EM095_r1.ADXX,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/006/SRR1553416/SRR1553416_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/006/SRR1553416/SRR1553416_2.fastq.gz']","75 MB, 83 MB files; 1.0 million reads; 205.0 million sequenced bases"
SRR1553417,SAMN02951951,EM095,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,142031647;152472244,376904730,1865865,EM095.FCH9,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/007/SRR1553417/SRR1553417_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/007/SRR1553417/SRR1553417_2.fastq.gz']","142 MB, 152 MB files; 1.9 million reads; 376.9 million sequenced bases"
SRR1553418,SAMN02951953,EM096,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,1307005;1336226,3701246,18323,EM096_r1.ADXX,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/008/SRR1553418/SRR1553418_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/008/SRR1553418/SRR1553418_2.fastq.gz']","1 MB, 1 MB files; 0.0 million reads; 3.7 million sequenced bases"
SRR1553419,SAMN02951953,EM096,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,21244723;23562643,56849264,281432,EM096.FCH9,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/009/SRR1553419/SRR1553419_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/009/SRR1553419/SRR1553419_2.fastq.gz']","21 MB, 24 MB files; 0.3 million reads; 56.8 million sequenced bases"
SRR1553420,SAMN02951954,EM098,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,16892437;19247731,45087612,223206,EM098.FCH9,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/000/SRR1553420/SRR1553420_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/000/SRR1553420/SRR1553420_2.fastq.gz']","17 MB, 19 MB files; 0.2 million reads; 45.1 million sequenced bases"
SRR1553423,SAMN02951956,EM106,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,21020882;21944641,61499304,304452,EM106_r1.ADXX,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/003/SRR1553423/SRR1553423_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/003/SRR1553423/SRR1553423_2.fastq.gz']","21 MB, 22 MB files; 0.3 million reads; 61.5 million sequenced bases"
SRR1553424,SAMN02951956,EM106,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,29300021;31087114,79355296,392848,EM106.FCH9,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/004/SRR1553424/SRR1553424_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/004/SRR1553424/SRR1553424_2.fastq.gz']","29 MB, 31 MB files; 0.4 million reads; 79.4 million sequenced bases"
SRR1553425,SAMN02951957,EM110,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,111859282;119350609,360534650,1784825,EM110_r1.ADXX,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/005/SRR1553425/SRR1553425_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/005/SRR1553425/SRR1553425_2.fastq.gz']","112 MB, 119 MB files; 1.8 million reads; 360.5 million sequenced bases"
SRR1553427,SAMN02951958,EM111,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,33916973;35122211,107117772,530286,EM111_r1.ADXX,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/007/SRR1553427/SRR1553427_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/007/SRR1553427/SRR1553427_2.fastq.gz']","34 MB, 35 MB files; 0.5 million reads; 107.1 million sequenced bases"
SRR1553431,SAMN02951960,EM113,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,25310208;25639060,77864738,385469,EM113_r1.ADXX,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/001/SRR1553431/SRR1553431_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/001/SRR1553431/SRR1553431_2.fastq.gz']","25 MB, 26 MB files; 0.4 million reads; 77.9 million sequenced bases"
SRR1553439,SAMN02951964,EM121,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,52754384;56477609,167941386,831393,EM121_r1.ADXX,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/009/SRR1553439/SRR1553439_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/009/SRR1553439/SRR1553439_2.fastq.gz']","53 MB, 56 MB files; 0.8 million reads; 167.9 million sequenced bases"
SRR1553440,SAMN02951964,EM121,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,100395520;108330613,310051618,1534909,EM121.FCH9,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/000/SRR1553440/SRR1553440_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/000/SRR1553440/SRR1553440_2.fastq.gz']","100 MB, 108 MB files; 1.5 million reads; 310.1 million sequenced bases"
SRR1553444,SAMN02951966,EM124.2,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,26424319;26565632,76287522,377661,EM124.2.FCH9,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/004/SRR1553444/SRR1553444_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/004/SRR1553444/SRR1553444_2.fastq.gz']","26 MB, 27 MB files; 0.4 million reads; 76.3 million sequenced bases"
SRR1553445,SAMN02951967,EM124.3,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,8033912;8394361,22422808,111004,EM124.3_r1.ADXX,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/005/SRR1553445/SRR1553445_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/005/SRR1553445/SRR1553445_2.fastq.gz']","8 MB, 8 MB files; 0.1 million reads; 22.4 million sequenced bases"
SRR1553447,SAMN02951968,EM124.4,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,3410542;3545878,9610150,47575,EM124.4_r1.ADXX,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/007/SRR1553447/SRR1553447_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/007/SRR1553447/SRR1553447_2.fastq.gz']","3 MB, 4 MB files; 0.0 million reads; 9.6 million sequenced bases"
SRR1553449,SAMN02951969,G3670.1,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,833390;787161,2475106,12253,G3670.1_r1.ADXX,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/009/SRR1553449/SRR1553449_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/009/SRR1553449/SRR1553449_2.fastq.gz']","833 KB, 787 KB files; 0.0 million reads; 2.5 million sequenced bases"
SRR1553451,SAMN02951970,G3676.1,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,1895916;1920278,5688522,28161,G3676.1_r1.ADXX,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/001/SRR1553451/SRR1553451_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/001/SRR1553451/SRR1553451_2.fastq.gz']","2 MB, 2 MB files; 0.0 million reads; 5.7 million sequenced bases"
SRR1553459,SAMN02951974,G3679.1,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,2353233;2273068,6688220,33110,G3679.1_r1.ADXX,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/009/SRR1553459/SRR1553459_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/009/SRR1553459/SRR1553459_2.fastq.gz']","2 MB, 2 MB files; 0.0 million reads; 6.7 million sequenced bases"
SRR1553460,SAMN02951974,G3679.1,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,50969201;56252235,136891966,677683,G3679.1.FCH9,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/000/SRR1553460/SRR1553460_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/000/SRR1553460/SRR1553460_2.fastq.gz']","51 MB, 56 MB files; 0.7 million reads; 136.9 million sequenced bases"
SRR1553461,SAMN02951975,G3680.1,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,910732;863565,2368652,11726,G3680.1_r1.ADXX,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/001/SRR1553461/SRR1553461_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/001/SRR1553461/SRR1553461_2.fastq.gz']","911 KB, 864 KB files; 0.0 million reads; 2.4 million sequenced bases"
SRR1553464,SAMN02951976,G3682.1,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,119440471;137248252,354026816,1752608,G3682.1.FCH9,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/004/SRR1553464/SRR1553464_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/004/SRR1553464/SRR1553464_2.fastq.gz']","119 MB, 137 MB files; 1.8 million reads; 354.0 million sequenced bases"
SRR1553468,SAMN02951978,G3686.1,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,149129615;163810274,455249420,2253710,G3686.1.FCH9,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/008/SRR1553468/SRR1553468_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/008/SRR1553468/SRR1553468_2.fastq.gz']","149 MB, 164 MB files; 2.3 million reads; 455.2 million sequenced bases"
SRR1553470,SAMN02951979,G3687.1,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,82226567;89629470,220852458,1093329,G3687.1.FCH9,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/000/SRR1553470/SRR1553470_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/000/SRR1553470/SRR1553470_2.fastq.gz']","82 MB, 90 MB files; 1.1 million reads; 220.9 million sequenced bases"
SRR1553479,SAMN02951984,G3724,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,103462256;113645122,337498368,1670784,G3724_r1.ADXX,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/009/SRR1553479/SRR1553479_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/009/SRR1553479/SRR1553479_2.fastq.gz']","103 MB, 114 MB files; 1.7 million reads; 337.5 million sequenced bases"
SRR1553480,SAMN02951984,G3724,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,110943317;125954762,343607858,1701029,G3724.FCH9,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/000/SRR1553480/SRR1553480_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/000/SRR1553480/SRR1553480_2.fastq.gz']","111 MB, 126 MB files; 1.7 million reads; 343.6 million sequenced bases"
SRR1553484,SAMN02951986,G3734.1,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,28675382;28564531,84656382,419091,G3734.1.FCH9,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/004/SRR1553484/SRR1553484_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/004/SRR1553484/SRR1553484_2.fastq.gz']","29 MB, 29 MB files; 0.4 million reads; 84.7 million sequenced bases"
SRR1553487,SAMN02951988,G3735.2,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,116805605;127792710,377887460,1870730,G3735.2_r1.ADXX,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/007/SRR1553487/SRR1553487_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/007/SRR1553487/SRR1553487_2.fastq.gz']","117 MB, 128 MB files; 1.9 million reads; 377.9 million sequenced bases"
SRR1553490,SAMN02951989,G3750.1,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,28780899;28434687,84608104,418852,G3750.1.FCH9,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/000/SRR1553490/SRR1553490_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/000/SRR1553490/SRR1553490_2.fastq.gz']","29 MB, 28 MB files; 0.4 million reads; 84.6 million sequenced bases"
SRR1553493,SAMN02951991,G3750.3,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,6906721;7352462,18251306,90353,G3750.3_r1.ADXX,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/003/SRR1553493/SRR1553493_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/003/SRR1553493/SRR1553493_2.fastq.gz']","7 MB, 7 MB files; 0.1 million reads; 18.3 million sequenced bases"
SRR1553496,SAMN02951992,G3752,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,25776471;26930928,76344284,377942,G3752.FCH9,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/006/SRR1553496/SRR1553496_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/006/SRR1553496/SRR1553496_2.fastq.gz']","26 MB, 27 MB files; 0.4 million reads; 76.3 million sequenced bases"
SRR1553501,SAMN02951995,G3765.2,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,6810972;6902558,19357660,95830,G3765.2_r1.ADXX,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/001/SRR1553501/SRR1553501_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/001/SRR1553501/SRR1553501_2.fastq.gz']","7 MB, 7 MB files; 0.1 million reads; 19.4 million sequenced bases"
SRR1553503,SAMN02951996,G3769.1,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,32561657;34254484,97664172,483486,G3769.1_r1.ADXX,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/003/SRR1553503/SRR1553503_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/003/SRR1553503/SRR1553503_2.fastq.gz']","33 MB, 34 MB files; 0.5 million reads; 97.7 million sequenced bases"
SRR1553511,SAMN02952000,G3770.1,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,64551285;69115102,206785784,1023692,G3770.1_r1.ADXX,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/001/SRR1553511/SRR1553511_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/001/SRR1553511/SRR1553511_2.fastq.gz']","65 MB, 69 MB files; 1.0 million reads; 206.8 million sequenced bases"
SRR1553512,SAMN02952000,G3770.1,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,80976947;87748991,255282348,1263774,G3770.1.FCH9,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/002/SRR1553512/SRR1553512_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/002/SRR1553512/SRR1553512_2.fastq.gz']","81 MB, 88 MB files; 1.3 million reads; 255.3 million sequenced bases"
SRR1553513,SAMN02952001,G3770.2,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,106116324;115852044,340459486,1685443,G3770.2_r1.ADXX,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/003/SRR1553513/SRR1553513_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/003/SRR1553513/SRR1553513_2.fastq.gz']","106 MB, 116 MB files; 1.7 million reads; 340.5 million sequenced bases"
SRR1553517,SAMN02952003,G3782,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,26764735;28928587,82757380,409690,G3782_r1.ADXX,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/007/SRR1553517/SRR1553517_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/007/SRR1553517/SRR1553517_2.fastq.gz']","27 MB, 29 MB files; 0.4 million reads; 82.8 million sequenced bases"
SRR1553520,SAMN02952004,G3786,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,13955434;14234389,36224458,179329,G3786.FCH9,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/000/SRR1553520/SRR1553520_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/000/SRR1553520/SRR1553520_2.fastq.gz']","14 MB, 14 MB files; 0.2 million reads; 36.2 million sequenced bases"
SRR1553522,SAMN02952005,G3787,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,24348835;23954457,68836348,340774,G3787.FCH9,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/002/SRR1553522/SRR1553522_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/002/SRR1553522/SRR1553522_2.fastq.gz']","24 MB, 24 MB files; 0.3 million reads; 68.8 million sequenced bases"
SRR1553527,SAMN02952008,G3795,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,30639487;33979314,92760420,459210,G3795_r1.ADXX,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/007/SRR1553527/SRR1553527_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/007/SRR1553527/SRR1553527_2.fastq.gz']","31 MB, 34 MB files; 0.5 million reads; 92.8 million sequenced bases"
SRR1553528,SAMN02952008,G3795,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,38419306;40281118,111015766,549583,G3795.FCH9,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/008/SRR1553528/SRR1553528_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/008/SRR1553528/SRR1553528_2.fastq.gz']","38 MB, 40 MB files; 0.5 million reads; 111.0 million sequenced bases"
SRR1553531,SAMN02952010,G3798,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,56049674;58123182,173479014,858807,G3798_r1.ADXX,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/001/SRR1553531/SRR1553531_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/001/SRR1553531/SRR1553531_2.fastq.gz']","56 MB, 58 MB files; 0.9 million reads; 173.5 million sequenced bases"
SRR1553533,SAMN02952011,G3799,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,33347760;35950272,102970712,509756,G3799_r1.ADXX,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/003/SRR1553533/SRR1553533_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/003/SRR1553533/SRR1553533_2.fastq.gz']","33 MB, 36 MB files; 0.5 million reads; 103.0 million sequenced bases"
