run_accession,sample_accession,sample_alias,sample_description,first_public,country,scientific_name,fastq_bytes,base_count,read_count,library_name,library_strategy,library_source,library_layout,instrument_platform,instrument_model,study_title,fastq_url,info
SRR1972910,SAMN03254201,G5689.1,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,319057038;274108944,819753370,4058185,G5689.1.l1,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/000/SRR1972910/SRR1972910_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/000/SRR1972910/SRR1972910_2.fastq.gz']","319 MB, 274 MB files; 4.1 million reads; 819.8 million sequenced bases"
SRR1972914,SAMN03254205,G5693.2,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,189031503;167859233,521623186,2582293,G5693.2.l1,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/004/SRR1972914/SRR1972914_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/004/SRR1972914/SRR1972914_2.fastq.gz']","189 MB, 168 MB files; 2.6 million reads; 521.6 million sequenced bases"
SRR1972918,SAMN03254209,G5731.1,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,310831217;280958287,778989568,3856384,G5731.1.l1,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/008/SRR1972918/SRR1972918_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/008/SRR1972918/SRR1972918_2.fastq.gz']","311 MB, 281 MB files; 3.9 million reads; 779.0 million sequenced bases"
SRR1972920,SAMN03254213,G5735.2,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,24875362;22671652,64796146,320773,G5735.2.l1,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/000/SRR1972920/SRR1972920_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/000/SRR1972920/SRR1972920_2.fastq.gz']","25 MB, 23 MB files; 0.3 million reads; 64.8 million sequenced bases"
SRR1972926,SAMN03254220,G5748.1,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,364345573;312821781,1036546840,5131420,G5748.1.l1,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/006/SRR1972926/SRR1972926_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/006/SRR1972926/SRR1972926_2.fastq.gz']","364 MB, 313 MB files; 5.1 million reads; 1036.5 million sequenced bases"
SRR1972933,SAMN03254230,G5764.1,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,358554983;318292622,850336776,4209588,G5764.1.l1,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/003/SRR1972933/SRR1972933_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/003/SRR1972933/SRR1972933_2.fastq.gz']","359 MB, 318 MB files; 4.2 million reads; 850.3 million sequenced bases"
SRR1972936,SAMN03254233,G5768.1,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,85588577;77515710,208651658,1032929,G5768.1.l1,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/006/SRR1972936/SRR1972936_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/006/SRR1972936/SRR1972936_2.fastq.gz']","86 MB, 78 MB files; 1.0 million reads; 208.7 million sequenced bases"
SRR1972937,SAMN03254235,G5785.1,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,458063328;406133002,1076611318,5329759,G5785.1.l1,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/007/SRR1972937/SRR1972937_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/007/SRR1972937/SRR1972937_2.fastq.gz']","458 MB, 406 MB files; 5.3 million reads; 1076.6 million sequenced bases"
SRR1972948,SAMN03254248,G5844.1,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,36709319;33541069,115914266,573833,G5844.1.l2,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/008/SRR1972948/SRR1972948_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/008/SRR1972948/SRR1972948_2.fastq.gz']","37 MB, 34 MB files; 0.6 million reads; 115.9 million sequenced bases"
SRR1972949,SAMN03254252,G5853.1,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,28767388;26073473,86698804,429202,G5853.1.l2,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/009/SRR1972949/SRR1972949_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/009/SRR1972949/SRR1972949_2.fastq.gz']","29 MB, 26 MB files; 0.4 million reads; 86.7 million sequenced bases"
SRR1972950,SAMN03254255,G5868.1,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,96453132;86160101,234758744,1162172,G5868.1.l1,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/000/SRR1972950/SRR1972950_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/000/SRR1972950/SRR1972950_2.fastq.gz']","96 MB, 86 MB files; 1.2 million reads; 234.8 million sequenced bases"
SRR1972954,SAMN03254261,G5897.1,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,42282003;33545889,99671648,493424,G5897.1.l2,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/004/SRR1972954/SRR1972954_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/004/SRR1972954/SRR1972954_2.fastq.gz']","42 MB, 34 MB files; 0.5 million reads; 99.7 million sequenced bases"
SRR1972955,SAMN03254262,G5898.1,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,35088800;30307907,85119972,421386,G5898.1.l2,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/005/SRR1972955/SRR1972955_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/005/SRR1972955/SRR1972955_2.fastq.gz']","35 MB, 30 MB files; 0.4 million reads; 85.1 million sequenced bases"
SRR1972957,SAMN03254274,G5983.1,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,38769121;35027132,106712156,528278,G5983.1.l2,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/007/SRR1972957/SRR1972957_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/007/SRR1972957/SRR1972957_2.fastq.gz']","39 MB, 35 MB files; 0.5 million reads; 106.7 million sequenced bases"
SRR1972958,SAMN03254275,G5985.1,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,22765011;19571798,58429106,289253,G5985.1.l2,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/008/SRR1972958/SRR1972958_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/008/SRR1972958/SRR1972958_2.fastq.gz']","23 MB, 20 MB files; 0.3 million reads; 58.4 million sequenced bases"
SRR1972961,SAMN03254279,G5996.1,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,46639202;45641752,141536148,700674,G5996.1.l2,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/001/SRR1972961/SRR1972961_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/001/SRR1972961/SRR1972961_2.fastq.gz']","47 MB, 46 MB files; 0.7 million reads; 141.5 million sequenced bases"
SRR1972962,SAMN03254280,G5997.1,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,29803899;25040758,71670812,354806,G5997.1.l2,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/002/SRR1972962/SRR1972962_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/002/SRR1972962/SRR1972962_2.fastq.gz']","30 MB, 25 MB files; 0.4 million reads; 71.7 million sequenced bases"
SRR1972964,SAMN03254285,G6012.1,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,33191617;28509666,95213306,471353,G6012.1.l2,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/004/SRR1972964/SRR1972964_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/004/SRR1972964/SRR1972964_2.fastq.gz']","33 MB, 29 MB files; 0.5 million reads; 95.2 million sequenced bases"
SRR1972966,SAMN03254290,G6060.1,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,79922310;73418215,212620554,1052577,G6060.1.l2,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/006/SRR1972966/SRR1972966_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/006/SRR1972966/SRR1972966_2.fastq.gz']","80 MB, 73 MB files; 1.1 million reads; 212.6 million sequenced bases"
SRR1972970,SAMN03254296,G6091.1,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,39689803;33735932,103654482,513141,G6091.1.l2,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/000/SRR1972970/SRR1972970_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/000/SRR1972970/SRR1972970_2.fastq.gz']","40 MB, 34 MB files; 0.5 million reads; 103.7 million sequenced bases"
SRR1972971,SAMN03254298,G6095.1,Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone,2015-06-05,Sierra Leone,Zaire ebolavirus,43565718;36344094,102959602,509701,G6095.1.l2,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2500,Zaire ebolavirus Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/001/SRR1972971/SRR1972971_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/001/SRR1972971/SRR1972971_2.fastq.gz']","44 MB, 36 MB files; 0.5 million reads; 103.0 million sequenced bases"
