name,gene,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,PValue,PAdj,FDR,falsePos,HBR_1,HBR_2,HBR_3,UHR_1,UHR_2,UHR_3
ENSG00000185252.17,ENSG00000185252,127.7,48.3,79.3,1.635,0.7,7.6e-05,1.1e-02,1e-04,0,49,44,52,76,82,80
ENSG00000100105.17,ENSG00000100105,206.7,83,123.7,1.507,0.6,7.7e-05,1.1e-02,1e-04,0,95,80,74,132,118,121
ENSG00000025770.18,ENSG00000025770,252,103,149,1.453,0.5,7.8e-05,1.1e-02,1e-04,0,112,101,96,154,134,159
ENSG00000235954.6,ENSG00000235954,98.3,63.7,34.7,0.523,-0.9,9.4e-05,1.3e-02,2e-04,0,55,63,73,28,46,30
ENSG00000099956.17,ENSG00000099956,207.7,83.7,124,1.476,0.6,1.4e-04,1.9e-02,2e-04,0,94,82,75,116,135,121
ENSG00000100380.12,ENSG00000100380,1192.3,536.7,655.7,1.219,0.3,1.5e-04,2.1e-02,3e-04,0,520,520,570,613,674,680
ENSG00000133477.16,ENSG00000133477,19.3,2.7,16.7,5.71,2.5,2.2e-04,3.0e-02,4e-04,0,0,1,7,19,19,12
ENSG00000079974.17,ENSG00000079974,125.7,78.3,47.3,0.611,-0.7,3.5e-04,4.7e-02,6e-04,0,99,68,68,45,52,45
ENSG00000099954.18,ENSG00000099954,215,130.7,84.3,0.653,-0.6,3.6e-04,4.8e-02,6e-04,0,151,95,146,81,85,87
ENSG00000100139.13,ENSG00000100139,171.7,70.7,101,1.428,0.5,3.7e-04,4.9e-02,6e-04,0,68,69,75,101,102,100
ENSG00000100083.18,ENSG00000100083,353.3,153.7,199.7,1.298,0.4,3.8e-04,5.0e-02,6e-04,0,151,162,148,207,200,192
ENSG00000100150.16,ENSG00000100150,134.3,81,53.3,0.655,-0.6,3.9e-04,5.1e-02,6e-04,0,68,86,89,53,51,56
ENSG00000100266.17,ENSG00000100266,320.3,138.7,181.7,1.31,0.4,4.4e-04,5.7e-02,7e-04,0,146,136,134,174,179,192
ENSG00000272821.1,ENSG00000272821,31.3,23,8.3,0.379,-1.4,4.9e-04,6.2e-02,8e-04,0,20,27,22,8,4,13
ENSG00000100365.14,ENSG00000100365,20.7,4.3,16.3,3.571,1.8,4.9e-04,6.2e-02,8e-04,0,4,8,1,16,19,14
ENSG00000183506.16,ENSG00000183506,51,16.3,34.7,2.097,1.1,5.3e-04,6.7e-02,8e-04,0,17,17,15,41,38,25
ENSG00000070371.15,ENSG00000070371,108.3,42.7,65.7,1.536,0.6,5.4e-04,6.8e-02,8e-04,0,41,44,43,67,64,66
ENSG00000100280.16,ENSG00000100280,545.3,300.3,245,0.815,-0.3,5.5e-04,6.8e-02,8e-04,0,301,293,307,244,251,240
ENSG00000099904.15,ENSG00000099904,189,111,78,0.703,-0.5,5.6e-04,6.9e-02,9e-04,0,122,99,112,77,86,71
ENSG00000130489.12,ENSG00000130489,40.7,11.3,29.3,2.482,1.3,5.7e-04,7.0e-02,9e-04,0,7,20,7,28,25,35
ENSG00000100359.20,ENSG00000100359,242.7,139.3,103.3,0.744,-0.4,5.8e-04,7.0e-02,9e-04,0,142,140,136,99,99,112
ENSG00000128284.19,ENSG00000128284,33,8.7,24.3,2.691,1.4,6.7e-04,8.0e-02,0.001,0,9,5,12,25,32,16
ENSG00000100393.9,ENSG00000100393,809.7,446.7,363,0.815,-0.3,8.0e-04,9.5e-02,0.0012,0,409,434,497,388,345,356
ENSG00000100416.12,ENSG00000100416,203.3,86.3,117,1.362,0.4,9.0e-04,1.1e-01,0.0014,0,84,84,91,125,108,118
ENSG00000224086.5,ENSG00000224086,27.7,20,7.7,0.349,-1.5,9.4e-04,1.1e-01,0.0014,0,17,28,15,5,13,5
ENSG00000185651.14,ENSG00000185651,575.7,259.7,316,1.221,0.3,9.8e-04,1.1e-01,0.0015,0,276,261,242,322,324,302
ENSG00000100324.13,ENSG00000100324,170,103,67,0.649,-0.6,1.1e-03,1.3e-01,0.0017,0,132,94,83,54,73,74
ENSG00000186951.16,ENSG00000186951,230,97.3,132.7,1.354,0.4,1.2e-03,1.3e-01,0.0017,0,87,106,99,130,147,121
ENSG00000099999.14,ENSG00000099999,111.3,67.3,44,0.657,-0.6,1.2e-03,1.3e-01,0.0017,0,76,72,54,44,43,45
ENSG00000100034.13,ENSG00000100034,301.7,131,170.7,1.296,0.4,1.2e-03,1.4e-01,0.0018,0,119,126,148,166,172,174
ENSG00000099940.11,ENSG00000099940,149.7,62,87.7,1.409,0.5,1.2e-03,1.4e-01,0.0018,0,58,63,65,90,92,81
ENSG00000100263.13,ENSG00000100263,93.3,36.3,57,1.545,0.6,1.4e-03,1.5e-01,0.002,0,31,41,37,54,59,58
ENSG00000100299.17,ENSG00000100299,113.7,68,45.7,0.666,-0.6,1.5e-03,1.6e-01,0.0021,1,67,59,78,41,49,47
ENSG00000100209.9,ENSG00000100209,37.3,12,25.3,2.142,1.1,1.8e-03,2.0e-01,0.0026,1,11,10,15,29,29,18
ENSG00000213888.3,ENSG00000213888,21.7,15.3,6.3,0.375,-1.4,2.0e-03,2.1e-01,0.0028,1,15,15,16,5,10,4
ENSG00000100413.16,ENSG00000100413,235.7,135.3,100.3,0.752,-0.4,2.2e-03,2.4e-01,0.0032,1,155,117,134,107,93,101
ENSG00000099942.12,ENSG00000099942,978.3,454.7,523.7,1.152,0.2,2.4e-03,2.5e-01,0.0034,1,456,458,450,520,509,542
ENSG00000184381.18,ENSG00000184381,154.7,91,63.7,0.71,-0.5,2.4e-03,2.5e-01,0.0034,1,98,76,99,71,63,57
ENSG00000185838.13,ENSG00000185838,47,15.7,31.3,1.993,1,2.4e-03,2.5e-01,0.0034,1,19,19,9,27,40,27
ENSG00000188677.14,ENSG00000188677,210.3,88.7,121.7,1.352,0.4,2.6e-03,2.7e-01,0.0037,1,90,95,81,105,140,120
ENSG00000100084.14,ENSG00000100084,51.7,18.3,33.3,1.862,0.9,2.7e-03,2.7e-01,0.0037,1,27,16,12,39,29,32
ENSG00000015475.18,ENSG00000015475,132,54.7,77.3,1.43,0.5,3.7e-03,3.6e-01,0.0051,1,55,47,62,72,69,91
ENSG00000099992.15,ENSG00000099992,44.3,15.7,28.7,1.779,0.8,3.7e-03,3.6e-01,0.0051,1,16,15,16,25,28,33
ENSG00000100296.13,ENSG00000100296,240.3,101.7,138.7,1.355,0.4,4.2e-03,4.1e-01,0.0058,1,96,130,79,149,139,128
ENSG00000198089.14,ENSG00000198089,227.3,129,98.3,0.763,-0.4,4.4e-03,4.2e-01,0.006,2,144,116,127,87,96,112
ENSG00000215193.12,ENSG00000215193,346.3,191,155.3,0.811,-0.3,4.5e-03,4.3e-01,0.0062,2,199,198,176,147,148,171
ENSG00000272977.1,ENSG00000272977,22,15.3,6.7,0.43,-1.2,5.0e-03,4.8e-01,0.0069,2,13,19,14,8,8,4
ENSG00000099949.18,ENSG00000099949,347.3,156,191.3,1.225,0.3,5.1e-03,4.8e-01,0.0069,2,159,170,139,196,184,194
ENSG00000184436.11,ENSG00000184436,125.3,52,73.3,1.387,0.5,5.5e-03,5.1e-01,0.0075,2,47,60,49,65,78,77
ENSG00000250479.8,ENSG00000250479,96,56.7,39.3,0.69,-0.5,5.6e-03,5.1e-01,0.0075,2,59,63,48,34,41,43
ENSG00000185339.8,ENSG00000185339,68.7,26.3,42.3,1.555,0.6,5.9e-03,5.4e-01,0.0079,2,24,27,28,39,51,37
ENSG00000224271.5,ENSG00000224271,28.3,9.3,19,2.005,1,7.5e-03,6.8e-01,0.0101,3,9,9,10,17,25,15
ENSG00000215012.8,ENSG00000215012,270.3,120.7,149.7,1.227,0.3,9.6e-03,8.6e-01,0.0128,3,111,134,117,144,157,148
ENSG00000182841.12,ENSG00000182841,73.7,29.7,44,1.445,0.5,1.3e-02,9.0e-01,0.0173,5,28,34,27,39,50,43
ENSG00000093010.11,ENSG00000093010,227.7,102.3,125.3,1.238,0.3,1.3e-02,9.0e-01,0.0173,5,110,101,96,130,111,135
ENSG00000184949.15,ENSG00000184949,47.7,17,30.7,1.78,0.8,1.7e-02,9.0e-01,0.023,6,20,11,20,27,46,19
ENSG00000274602.4,ENSG00000274602,38,14.3,23.7,1.678,0.7,1.9e-02,9.0e-01,0.0254,7,17,9,17,25,19,27
ENSG00000133422.12,ENSG00000133422,218.3,96,122.3,1.27,0.3,2.0e-02,9.0e-01,0.0261,7,111,102,75,114,111,142
ENSG00000100207.18,ENSG00000100207,579,271.3,307.7,1.134,0.2,2.0e-02,9.0e-01,0.0265,7,274,282,258,313,298,312
ENSG00000186654.20,ENSG00000186654,24.3,8.3,16,1.893,0.9,2.1e-02,9.0e-01,0.0266,7,13,5,7,17,18,13
ENSG00000189060.5,ENSG00000189060,314,143.7,170.3,1.178,0.2,2.1e-02,9.0e-01,0.0278,8,139,158,134,173,173,165
ENSG00000244627.5,ENSG00000244627,32,11.7,20.3,1.691,0.8,2.2e-02,9.0e-01,0.028,8,12,11,12,17,25,19
ENSG00000185721.11,ENSG00000185721,248.3,112.3,136,1.2,0.3,2.2e-02,9.0e-01,0.0286,8,106,114,117,127,148,133
ENSG00000100376.11,ENSG00000100376,135.3,59.7,75.7,1.278,0.4,2.3e-02,9.0e-01,0.0288,8,66,53,60,76,68,83
ENSG00000100417.11,ENSG00000100417,86.3,51.3,35,0.696,-0.5,2.4e-02,9.0e-01,0.0307,9,41,46,67,43,36,26
ENSG00000178026.12,ENSG00000178026,44.7,26.7,18,0.653,-0.6,2.4e-02,9.0e-01,0.031,9,24,28,28,14,21,19
ENSG00000100246.12,ENSG00000100246,62.7,37.7,25,0.673,-0.6,2.8e-02,9.0e-01,0.0351,10,25,46,42,32,19,24
ENSG00000184983.9,ENSG00000184983,205.3,92.7,112.7,1.209,0.3,2.9e-02,9.0e-01,0.0369,10,82,105,91,114,113,111
ENSG00000099991.16,ENSG00000099991,687.3,364.7,322.7,0.891,-0.2,3.1e-02,9.0e-01,0.0385,11,371,347,376,343,299,326
ENSG00000100116.16,ENSG00000100116,88.3,37.7,50.7,1.343,0.4,3.1e-02,9.0e-01,0.0388,11,45,29,39,50,55,47
ENSG00000100109.16,ENSG00000100109,187.7,83.7,104,1.247,0.3,3.3e-02,9.0e-01,0.0409,12,88,98,65,116,98,98
ENSG00000100360.14,ENSG00000100360,121.3,67.7,53.7,0.8,-0.3,3.9e-02,9.0e-01,0.0487,14,74,60,69,52,56,53
ENSG00000273295.1,ENSG00000273295,33.7,13.3,20.3,1.529,0.6,4.0e-02,9.0e-01,0.0489,14,13,13,14,19,21,21
ENSG00000100226.15,ENSG00000100226,397.3,185.7,211.7,1.147,0.2,4.7e-02,9.0e-01,0.0586,17,189,197,171,230,188,217
ENSG00000128294.15,ENSG00000128294,106,46.7,59.3,1.298,0.4,5.2e-02,9.0e-01,0.0644,19,51,43,46,56,47,75
ENSG00000100058.12,ENSG00000100058,65.3,28,37.3,1.333,0.4,5.5e-02,9.0e-01,0.0678,20,31,28,25,34,35,43
ENSG00000093072.15,ENSG00000093072,59,34,25,0.737,-0.4,6.1e-02,9.0e-01,0.0741,21,37,29,36,26,30,19
ENSG00000183597.15,ENSG00000183597,143,78.7,64.3,0.823,-0.3,6.5e-02,9.0e-01,0.079,23,72,83,81,74,64,55
ENSG00000100099.20,ENSG00000100099,405.3,188.7,216.7,1.145,0.2,6.8e-02,9.0e-01,0.0817,24,155,189,222,216,208,226
ENSG00000100311.16,ENSG00000100311,71.3,40.3,31,0.76,-0.4,6.8e-02,9.0e-01,0.0817,24,41,45,35,28,27,38
ENSG00000180957.17,ENSG00000180957,174.3,94.7,79.7,0.836,-0.3,6.8e-02,9.0e-01,0.0824,24,106,99,79,76,89,74
ENSG00000100138.13,ENSG00000100138,465.3,221,244.3,1.11,0.2,7.0e-02,9.0e-01,0.0843,25,223,219,221,249,229,255
ENSG00000186575.17,ENSG00000186575,601.3,286.7,314.7,1.094,0.1,8.4e-02,9.0e-01,0.0999,30,270,295,295,309,325,310
ENSG00000279738.1,ENSG00000279738,46,18.7,27.3,1.432,0.5,8.5e-02,9.0e-01,0.1008,30,15,25,16,32,32,18
ENSG00000188130.13,ENSG00000188130,151.3,69,82.3,1.208,0.3,8.8e-02,9.0e-01,0.1048,31,78,61,68,79,69,99
ENSG00000025708.12,ENSG00000025708,41,17.3,23.7,1.414,0.5,9.6e-02,9.0e-01,0.1137,34,16,14,22,32,19,20
ENSG00000226328.6,ENSG00000226328,58,32.7,25.3,0.765,-0.4,1.0e-01,9.0e-01,0.12,36,35,26,37,22,30,24
ENSG00000237438.6,ENSG00000237438,51.3,29,22.3,0.753,-0.4,1.1e-01,9.0e-01,0.1237,37,29,25,33,19,29,19
ENSG00000138964.16,ENSG00000138964,41,17,24,1.37,0.5,1.2e-01,9.0e-01,0.1414,43,21,15,15,22,31,19
ENSG00000099995.18,ENSG00000099995,510.7,244.3,266.3,1.087,0.1,1.4e-01,9.0e-01,0.1582,48,246,261,226,263,274,262
ENSG00000138942.15,ENSG00000138942,194.7,103,91.7,0.868,-0.2,1.4e-01,9.0e-01,0.1667,51,87,122,100,81,100,94
ENSG00000100395.14,ENSG00000100395,218.3,115.7,102.7,0.881,-0.2,1.5e-01,9.0e-01,0.1718,52,123,119,105,101,118,89
ENSG00000073169.13,ENSG00000073169,110.7,61.3,49.3,0.813,-0.3,1.5e-01,9.0e-01,0.1744,53,71,74,39,50,39,59
ENSG00000100387.8,ENSG00000100387,154,72,82,1.137,0.2,1.6e-01,9.0e-01,0.188,58,68,76,72,87,81,78
ENSG00000100319.12,ENSG00000100319,47,20.7,26.3,1.29,0.4,1.9e-01,9.0e-01,0.2208,68,27,20,15,30,30,19
ENSG00000100147.13,ENSG00000100147,42.7,18.7,24,1.269,0.3,2.0e-01,9.0e-01,0.2316,72,12,22,22,25,23,24
ENSG00000100124.12,ENSG00000100124,111,51.7,59.3,1.152,0.2,2.5e-01,9.0e-01,0.2816,87,41,50,64,63,50,65
ENSG00000100055.20,ENSG00000100055,33.3,18.3,15,0.781,-0.4,2.5e-01,9.0e-01,0.2834,88,17,20,18,14,20,11
ENSG00000260708.1,ENSG00000260708,20.3,8.3,12,1.435,0.5,2.5e-01,9.0e-01,0.284,89,3,7,15,10,13,13
ENSG00000100221.10,ENSG00000100221,363,173.7,189.3,1.083,0.1,2.5e-01,9.0e-01,0.2875,90,191,170,160,174,212,182
ENSG00000100014.19,ENSG00000100014,180.7,86.3,94.3,1.106,0.1,2.6e-01,9.0e-01,0.2892,91,86,87,86,107,87,89
ENSG00000189306.10,ENSG00000189306,216.3,103,113.3,1.101,0.1,2.6e-01,9.0e-01,0.2892,91,88,111,110,117,102,121
ENSG00000184164.14,ENSG00000184164,98.7,45.3,53.3,1.151,0.2,2.6e-01,9.0e-01,0.2964,94,40,44,52,47,64,49
ENSG00000100201.18,ENSG00000100201,3950.3,2007,1943.3,0.969,0,2.8e-01,9.0e-01,0.3165,100,2049,1958,2014,1934,1915,1981
ENSG00000261188.1,ENSG00000261188,35.3,19.7,15.7,0.804,-0.3,2.8e-01,9.0e-01,0.3165,101,19,25,15,18,14,15
ENSG00000242259.8,ENSG00000242259,164.3,85.3,79,0.909,-0.1,3.3e-01,9.0e-01,0.3688,118,83,81,92,67,91,79
ENSG00000182858.13,ENSG00000182858,121.3,64.3,57,0.893,-0.2,3.5e-01,9.0e-01,0.3865,124,49,64,80,65,48,58
ENSG00000100104.12,ENSG00000100104,132,68.7,63.3,0.914,-0.1,3.9e-01,9.0e-01,0.4292,138,63,62,81,59,66,65
ENSG00000273899.4,ENSG00000273899,28.3,13,15.3,1.204,0.3,4.2e-01,9.0e-01,0.4568,147,12,10,17,18,13,15
ENSG00000100401.19,ENSG00000100401,656.3,334.3,322,0.961,-0.1,4.3e-01,9.0e-01,0.467,151,337,343,323,316,309,341
ENSG00000184470.19,ENSG00000184470,120,57.3,62.7,1.087,0.1,4.4e-01,9.0e-01,0.4806,156,67,56,49,59,67,62
ENSG00000100425.18,ENSG00000100425,252.7,123,129.7,1.053,0.1,4.7e-01,9.0e-01,0.5113,166,120,122,127,127,125,137
ENSG00000128185.9,ENSG00000128185,89.3,43,46.3,1.103,0.1,4.7e-01,9.0e-01,0.514,168,51,39,39,52,34,53
ENSG00000100056.11,ENSG00000100056,114.3,59.7,54.7,0.924,-0.1,4.8e-01,9.0e-01,0.5146,168,64,61,54,57,46,61
ENSG00000187792.4,ENSG00000187792,88.7,42,46.7,1.106,0.1,4.8e-01,9.0e-01,0.5146,169,35,52,39,55,50,35
ENSG00000054611.13,ENSG00000054611,109,52,57,1.081,0.1,4.8e-01,9.0e-01,0.5146,169,49,53,54,54,52,65
ENSG00000202058.1,ENSG00000202058,650.3,336,314.3,0.906,-0.1,4.8e-01,9.0e-01,0.5165,170,380,347,281,172,437,334
ENSG00000100348.9,ENSG00000100348,90.3,43,47.3,1.101,0.1,4.9e-01,9.0e-01,0.5214,173,36,45,48,56,51,35
ENSG00000275004.3,ENSG00000275004,86.7,41,45.7,1.096,0.1,4.9e-01,9.0e-01,0.5214,173,36,40,47,45,55,37
ENSG00000100350.14,ENSG00000100350,236.3,115.7,120.7,1.063,0.1,5.2e-01,9.0e-01,0.5573,186,98,117,132,147,109,106
ENSG00000184076.12,ENSG00000184076,230.3,113,117.3,1.053,0.1,5.4e-01,9.0e-01,0.5671,189,110,102,127,128,103,121
ENSG00000128283.6,ENSG00000128283,191,92.7,98.3,1.061,0.1,5.4e-01,9.0e-01,0.5689,191,90,109,79,99,84,112
ENSG00000182541.17,ENSG00000182541,150,77,73,0.946,-0.1,5.4e-01,9.0e-01,0.574,193,75,83,73,72,69,78
ENSG00000100211.10,ENSG00000100211,50.7,24,26.7,1.101,0.1,5.7e-01,9.0e-01,0.5989,202,19,26,27,23,24,33
ENSG00000099957.16,ENSG00000099957,39.3,20.7,18.7,0.896,-0.2,5.8e-01,9.0e-01,0.6024,204,25,17,20,16,16,24
ENSG00000177663.13,ENSG00000177663,144.3,73.7,70.7,0.956,-0.1,6.3e-01,9.0e-01,0.6619,224,78,71,72,65,74,73
ENSG00000167065.13,ENSG00000167065,25.3,13.3,12,0.895,-0.2,6.5e-01,9.0e-01,0.6785,231,11,12,17,13,15,8
ENSG00000183530.13,ENSG00000183530,584.7,288.7,296,1.023,0,6.5e-01,9.0e-01,0.6785,231,289,291,286,286,307,295
ENSG00000100154.14,ENSG00000100154,220.3,108.3,112,1.041,0.1,6.8e-01,9.0e-01,0.7054,241,106,129,90,130,112,94
ENSG00000184208.10,ENSG00000184208,84.7,41,43.7,1.048,0.1,7.0e-01,9.0e-01,0.7264,249,45,39,39,39,49,43
ENSG00000183762.12,ENSG00000183762,117,59.3,57.7,0.963,-0.1,7.5e-01,9.0e-01,0.7731,266,67,68,43,52,60,61
ENSG00000278948.1,ENSG00000278948,41.7,21.3,20.3,0.939,-0.1,7.6e-01,9.0e-01,0.7788,269,16,33,15,19,23,19
ENSG00000196576.14,ENSG00000196576,633.7,315,318.7,1.015,0,7.6e-01,9.0e-01,0.7803,270,317,322,306,326,301,329
ENSG00000056487.15,ENSG00000056487,24.3,12.3,12,0.93,-0.1,7.8e-01,9.0e-01,0.7921,275,17,13,7,11,15,10
ENSG00000100227.17,ENSG00000100227,361.7,179.7,182,1.017,0,7.8e-01,9.0e-01,0.7929,276,186,169,184,181,179,186
ENSG00000100294.12,ENSG00000100294,56.7,27.7,29,1.038,0.1,8.0e-01,9.0e-01,0.811,283,24,28,31,29,28,30
ENSG00000187051.8,ENSG00000187051,183,92,91,0.981,0,8.3e-01,9.0e-01,0.8345,292,94,96,86,89,100,84
ENSG00000075240.16,ENSG00000075240,219.7,110.7,109,0.984,0,8.5e-01,9.0e-01,0.8557,300,128,112,92,107,101,119
ENSG00000205643.10,ENSG00000205643,30.7,15.3,15.3,1.042,0.1,8.5e-01,9.0e-01,0.8557,301,20,12,14,18,12,16
ENSG00000280383.1,ENSG00000280383,38,19,19,1.03,0,8.9e-01,9.0e-01,0.8919,315,20,21,16,21,11,25
ENSG00000273311.1,ENSG00000273311,20,10,10,1.039,0.1,9.0e-01,9.0e-01,0.8987,318,4,10,16,11,6,13
