name,gene,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,PValue,PAdj,FDR,falsePos,HBR_1,HBR_2,HBR_3,UHR_1,UHR_2,UHR_3
ENSG00000099889.13,ENSG00000099889,217,172.3,44.7,0.267,-1.9,2.9e-12,0.0e+00,0,0,179,167,171,54,36,44
ENSG00000100242.15,ENSG00000100242,816.3,570,246.3,0.434,-1.2,3.1e-12,0.0e+00,0,0,560,586,564,247,208,284
ENSG00000100196.10,ENSG00000100196,74,2,72,32.899,5,3.5e-12,0.0e+00,0,0,3,2,1,59,88,69
ENSG00000261675.1,ENSG00000261675,56.7,56.7,0,0.002,-8.8,3.9e-12,0.0e+00,0,0,55,61,54,0,0,0
ENSG00000100077.14,ENSG00000100077,423.7,303,120.7,0.394,-1.3,4.0e-12,0.0e+00,0,0,274,313,322,117,133,112
ENSG00000183765.20,ENSG00000183765,81,3.3,77.7,20.41,4.4,4.3e-12,0.0e+00,0,0,1,5,4,66,84,83
ENSG00000100300.17,ENSG00000100300,108.3,14.3,94,6.61,2.7,4.8e-12,0.0e+00,0,0,16,11,16,94,90,98
ENSG00000128340.14,ENSG00000128340,88,8.7,79.3,9.187,3.2,4.9e-12,0.0e+00,0,0,11,9,6,76,81,81
ENSG00000100234.11,ENSG00000100234,804,273.7,530.3,1.94,1,6.1e-12,0.0e+00,0,0,255,277,289,548,513,530
ENSG00000221963.5,ENSG00000221963,291.3,71.3,220,3.133,1.6,6.2e-12,0.0e+00,0,0,86,59,69,228,207,225
ENSG00000273032.1,ENSG00000273032,57,54.7,2.3,0.044,-4.5,7.3e-12,0.0e+00,0,0,60,49,55,3,1,3
ENSG00000100403.11,ENSG00000100403,889.7,575.3,314.3,0.547,-0.9,9.7e-12,0.0e+00,0,0,559,579,588,311,301,331
ENSG00000100065.14,ENSG00000100065,72.7,4.7,68,13.573,3.8,9.9e-12,0.0e+00,0,0,3,5,6,65,74,65
ENSG00000100351.16,ENSG00000100351,43.7,0.7,43,45.779,5.5,1.3e-11,0.0e+00,0,0,1,0,1,43,47,39
ENSG00000183628.12,ENSG00000183628,88.3,76.3,12,0.157,-2.7,1.4e-11,0.0e+00,0,0,75,78,76,10,14,12
ENSG00000185133.13,ENSG00000185133,85.3,78.3,7,0.088,-3.5,1.5e-11,0.0e+00,0,0,79,84,72,3,6,12
ENSG00000100129.17,ENSG00000100129,712.7,240.3,472.3,1.965,1,2.2e-11,0.0e+00,0,0,246,233,242,450,454,513
ENSG00000100302.6,ENSG00000100302,91,78.7,12.3,0.152,-2.7,2.2e-11,0.0e+00,0,0,74,88,74,10,13,14
ENSG00000100330.15,ENSG00000100330,443.7,299.3,144.3,0.484,-1,2.8e-11,0.0e+00,0,0,296,295,307,151,139,143
ENSG00000133454.15,ENSG00000133454,66.3,0,66.3,520.708,9,3.9e-11,0.0e+00,0,0,0,0,0,57,84,58
ENSG00000205593.11,ENSG00000205593,132,108.7,23.3,0.219,-2.2,4.2e-11,0.0e+00,0,0,102,129,95,27,21,22
ENSG00000169635.9,ENSG00000169635,158.7,32.7,126,3.945,2,5.4e-11,0.0e+00,0,0,36,27,35,143,112,123
ENSG00000100181.21,ENSG00000100181,122.3,24.3,98,4.024,2,6.4e-11,0.0e+00,0,0,27,24,22,96,94,104
ENSG00000186976.14,ENSG00000186976,46.7,44.3,2.3,0.06,-4.1,6.8e-11,0.0e+00,0,0,44,46,43,3,2,2
ENSG00000100027.14,ENSG00000100027,113.7,93.3,20.3,0.218,-2.2,6.8e-11,0.0e+00,0,0,83,108,89,23,19,19
ENSG00000100075.9,ENSG00000100075,209.7,47.7,162,3.374,1.8,7.4e-11,0.0e+00,0,0,43,53,47,153,144,189
ENSG00000244509.3,ENSG00000244509,55.3,4,51.3,12.481,3.6,9.6e-11,0.0e+00,0,0,5,3,4,55,47,52
ENSG00000183864.4,ENSG00000183864,390.7,268.7,122,0.452,-1.1,1.0e-10,0.0e+00,0,0,268,298,240,118,121,127
ENSG00000166862.6,ENSG00000166862,46.7,46.7,0,0.003,-8.5,1.3e-10,0.0e+00,0,0,44,37,59,0,0,0
ENSG00000279010.1,ENSG00000279010,224.7,164.3,60.3,0.364,-1.5,1.3e-10,0.0e+00,0,0,181,162,150,58,69,54
ENSG00000100342.20,ENSG00000100342,69.7,7.3,62.3,7.928,3,1.4e-10,0.0e+00,0,0,5,10,7,56,66,65
ENSG00000133466.13,ENSG00000133466,77.3,11,66.3,6.007,2.6,1.5e-10,0.0e+00,0,0,12,9,12,65,69,65
ENSG00000099958.14,ENSG00000099958,54,3,51,17.52,4.1,1.7e-10,0.0e+00,0,0,3,1,5,51,43,59
ENSG00000100029.17,ENSG00000100029,294.3,85.7,208.7,2.419,1.3,1.7e-10,0.0e+00,0,0,86,85,86,186,216,224
ENSG00000185386.14,ENSG00000185386,114,92.3,21.7,0.228,-2.1,1.9e-10,0.0e+00,0,0,82,99,96,16,24,25
ENSG00000128203.6,ENSG00000128203,105,90.3,14.7,0.165,-2.6,2.4e-10,0.0e+00,0,0,75,80,116,13,12,19
ENSG00000161179.13,ENSG00000161179,127.7,27,100.7,3.734,1.9,3.3e-10,0.0e+00,0,0,23,28,30,105,87,110
ENSG00000070010.18,ENSG00000070010,239.3,67.3,172,2.526,1.3,4.7e-10,0.0e+00,0,0,58,76,68,170,187,159
ENSG00000100162.14,ENSG00000100162,42.3,1.3,41,24.01,4.6,5.0e-10,0.0e+00,0,0,0,3,1,44,36,43
ENSG00000100304.12,ENSG00000100304,291,83.7,207.3,2.433,1.3,6.1e-10,0.0e+00,0,0,76,102,73,194,221,207
ENSG00000100426.6,ENSG00000100426,183.3,46.3,137,2.909,1.5,7.5e-10,0.0e+00,0,0,39,45,55,125,152,134
ENSG00000099960.12,ENSG00000099960,27,26.3,0.7,0.026,-5.3,7.9e-10,0.0e+00,0,0,27,31,21,1,0,1
ENSG00000214076.3,ENSG00000214076,56.3,50.3,6,0.122,-3,9.5e-10,0.0e+00,0,0,54,46,51,3,6,9
ENSG00000198792.12,ENSG00000198792,416,270.3,145.7,0.536,-0.9,1.1e-09,0.0e+00,0,0,277,265,269,134,152,151
ENSG00000185340.15,ENSG00000185340,112,87.3,24.7,0.285,-1.8,1.4e-09,0.0e+00,0,0,98,84,80,21,23,30
ENSG00000100028.11,ENSG00000100028,314.3,100.3,214,2.129,1.1,1.6e-09,0.0e+00,0,0,91,94,116,200,218,224
ENSG00000100106.19,ENSG00000100106,146.3,35.3,111,3.182,1.7,1.6e-09,0.0e+00,0,0,47,28,31,109,105,119
ENSG00000070413.18,ENSG00000070413,600.7,389,211.7,0.548,-0.9,1.9e-09,0.0e+00,0,0,407,380,380,209,184,242
ENSG00000272872.1,ENSG00000272872,51,2,49,23.873,4.6,2.1e-09,0.0e+00,0,0,4,2,0,66,38,43
ENSG00000130638.15,ENSG00000130638,429.7,281.3,148.3,0.523,-0.9,2.6e-09,0.0e+00,0,0,261,275,308,132,158,155
ENSG00000099968.17,ENSG00000099968,469.3,299.7,169.7,0.564,-0.8,2.8e-09,0.0e+00,0,0,274,303,322,165,170,174
ENSG00000100379.17,ENSG00000100379,95.3,77.7,17.7,0.234,-2.1,2.9e-09,0.0e+00,0,0,62,82,89,21,20,12
ENSG00000198911.11,ENSG00000198911,1116.3,683.3,433,0.634,-0.7,3.5e-09,0.0e+00,0,0,642,721,687,424,402,473
