name,gene,HBR_1,HBR_2,HBR_3,UHR_1,UHR_2,UHR_3
ENSG00000277248.1,U2,0,0,0,0,0,0
ENSG00000274237.1,ENSG00000274237,0,0,0,0,0,0
ENSG00000280363.1,ENSG00000280363,0,0,0,0,0,0
ENSG00000279973.1,ENSG00000279973,0,0,0,0,0,0
ENSG00000226444.2,ACTR3BP7,0,0,0,0,0,0
ENSG00000276871.1,5_8S_rRNA,0,0,0,0,0,0
ENSG00000277683.1,ENSG00000277683,0,0,0,0,0,0
ENSG00000277821.1,ENSG00000277821,0,0,0,0,0,0
ENSG00000273663.1,ENSG00000273663,0,0,0,0,0,0
ENSG00000278534.1,ENSG00000278534,0,0,0,0,0,0
ENSG00000278398.1,ENSG00000278398,0,0,0,0,0,0
ENSG00000274416.1,ENSG00000274416,0,0,0,0,0,0
ENSG00000278297.1,ENSG00000278297,0,0,0,0,0,0
ENSG00000277861.1,ENSG00000277861,0,0,0,0,0,0
ENSG00000274773.1,ENSG00000274773,0,0,0,0,0,0
ENSG00000277372.1,ENSG00000277372,0,0,0,0,0,0
ENSG00000275065.1,ENSG00000275065,0,0,0,0,0,0
ENSG00000276138.1,U6,0,0,0,0,0,0
ENSG00000280341.1,ENSG00000280341,0,0,0,0,0,0
ENSG00000236235.1,ENSG00000236235,0,0,0,0,0,0
ENSG00000279442.1,ENSG00000279442,0,0,0,0,2,0
ENSG00000184624.4,ZNF72BP,0,0,0,0,1,0
ENSG00000236097.1,BNIP3P2,0,0,0,0,1,0
ENSG00000236831.1,YME1L1P1,0,0,0,0,0,0
ENSG00000130538.4,OR11H1,0,0,0,0,0,0
ENSG00000237299.1,ENSG00000237299,0,0,0,0,1,0
ENSG00000235759.1,ARHGAP42P3,0,0,0,0,2,0
ENSG00000233408.1,ENSG00000233408,0,0,0,0,1,0
ENSG00000215268.3,USP10P3,0,0,0,0,2,0
ENSG00000213727.3,SSBP3P3,0,0,0,0,0,0
ENSG00000230643.1,ENSG00000230643,0,0,0,0,0,0
ENSG00000230471.1,ENSG00000230471,0,0,0,0,1,0
ENSG00000231565.1,NEK2P2,0,0,0,0,1,1
ENSG00000226474.1,ENSG00000226474,0,0,0,0,0,0
ENSG00000224435.2,NF1P6,0,0,0,1,2,1
ENSG00000234381.1,MED15P7,0,0,0,0,0,0
ENSG00000198062.14,POTEH,0,0,1,7,7,11
ENSG00000236666.1,POTEH-AS1,0,0,0,0,2,0
ENSG00000212216.1,RNU6-816P,0,0,0,0,0,0
ENSG00000241838.3,ENSG00000241838,0,0,0,2,1,2
ENSG00000225255.6,PSLNR,0,0,0,2,0,0
ENSG00000235992.1,GRAMD4P2,0,0,0,0,1,0
ENSG00000206195.10,DUXAP8,10,4,7,184,154,168
ENSG00000271127.1,ENSG00000271127,0,1,0,16,9,19
ENSG00000232775.6,BMS1P22,0,0,0,0,0,0
ENSG00000272872.1,ENSG00000272872,3,2,0,96,36,49
ENSG00000271672.1,DUXAP8,0,0,0,0,0,0
ENSG00000223875.2,NBEAP3,0,0,0,4,3,0
ENSG00000215270.3,TOMM40P2,0,0,0,0,0,0
ENSG00000229286.1,ENSG00000229286,0,0,0,0,0,0
ENSG00000233866.1,ENSG00000233866,0,0,0,0,1,0
ENSG00000278188.1,U6,0,0,0,0,0,0
ENSG00000278335.1,ENSG00000278335,0,0,0,0,0,0
ENSG00000225293.1,ABCD1P4,0,0,0,0,1,0
ENSG00000226160.1,ENSG00000226160,0,0,0,0,0,0
ENSG00000229658.1,PABPC1P9,0,0,0,0,1,0
ENSG00000227367.1,SLC9B1P4,0,0,0,0,1,0
ENSG00000280263.1,ACTR3BP6,0,0,0,0,0,0
ENSG00000235969.1,CHEK2P4,0,0,0,0,0,0
ENSG00000273362.1,ENSG00000273362,0,0,0,0,0,0
ENSG00000233995.1,ENSG00000233995,0,0,0,0,0,0
ENSG00000239435.2,KCNMB3P1,0,0,0,2,1,1
ENSG00000198445.4,CCT8L2,0,0,0,1,0,0
ENSG00000240122.1,FABP5P11,0,0,0,0,0,0
ENSG00000221084.1,ENSG00000221084,0,0,0,0,0,0
ENSG00000100181.21,TPTEP1,20,22,18,139,89,117
ENSG00000267338.1,ENSG00000267338,0,0,1,2,4,2
ENSG00000249288.1,SLC25A15P5,0,0,0,0,0,1
ENSG00000249263.2,PARP4P3,0,0,0,0,0,0
ENSG00000189295.13,ANKRD62P1-PARP4P3,0,0,0,1,0,0
ENSG00000259271.1,ANKRD62P1,0,0,0,0,0,0
ENSG00000273244.1,ENSG00000273244,0,0,0,0,0,0
ENSG00000241717.1,VWFP1,2,2,4,0,1,0
ENSG00000235343.1,LINC01665,0,0,0,0,0,0
ENSG00000172967.7,XKR3,0,0,0,2,4,7
ENSG00000229027.3,HSFY1P1,0,0,0,0,0,0
ENSG00000234121.1,GPM6BP3,0,0,0,0,0,0
ENSG00000237835.1,ENSG00000237835,0,0,0,0,0,0
ENSG00000220248.1,ZNF402P,0,0,0,1,0,0
ENSG00000237689.1,ENSG00000237689,0,3,2,1,0,1
ENSG00000228122.1,MTND1P17,0,0,0,0,0,0
ENSG00000237358.1,ENSG00000237358,0,0,0,0,0,0
ENSG00000225480.1,ENSG00000225480,0,0,0,0,0,0
ENSG00000230481.2,IGKV1OR22-5,0,0,0,0,0,0
ENSG00000253691.2,IGKV2OR22-4,0,0,0,0,0,0
ENSG00000253460.2,IGKV2OR22-3,0,0,0,0,0,0
ENSG00000254264.2,IGKV3OR22-2,0,0,0,0,1,0
ENSG00000253481.2,IGKV1OR22-1,0,0,0,0,0,0
ENSG00000280156.1,ENSG00000280156,1,1,1,0,16,1
ENSG00000215568.7,GAB4,0,0,0,0,0,0
ENSG00000270226.1,IL9RP6,0,0,0,0,0,0
ENSG00000276400.1,VN1R9P,0,0,0,0,0,0
ENSG00000237438.6,CECR7,22,23,27,28,27,22
ENSG00000273203.1,ENSG00000273203,7,6,4,3,3,4
ENSG00000273442.1,ENSG00000273442,0,2,2,0,2,2
ENSG00000177663.13,IL17RA,58,65,58,94,70,82
ENSG00000235328.1,RPL31P62,0,0,0,0,0,0
ENSG00000183307.3,TMEM121B,26,45,30,9,5,4
ENSG00000235478.4,LINC01664,2,3,1,0,0,0
ENSG00000069998.12,HDHD5,30,43,33,127,81,139
ENSG00000185837.3,HDHD5-AS1,0,0,2,2,1,1
ENSG00000093072.15,ADA2,28,27,29,38,28,22
ENSG00000236325.1,RPL32P5,0,0,0,0,0,0
ENSG00000203416.3,FAM32BP,0,1,0,0,0,0
ENSG00000241832.1,CECR3,0,0,1,0,1,0
ENSG00000231004.2,CECR9,0,0,0,0,0,0
ENSG00000239547.3,RN7SL843P,0,0,0,0,0,0
ENSG00000099954.18,CECR2,113,87,118,118,80,98
ENSG00000229492.1,TERF2IPP1,0,4,1,0,1,1
ENSG00000232305.1,CLCP1,0,0,0,0,0,0
ENSG00000228045.1,DNAJA1P6,0,0,0,0,0,0
